,testing_strategy,noise_level,mean_score,std_dev,n_reps,se,ci_lower,ci_upper
0,0_DBS,0.0,0.08433333333333334,1.4628472785736255e-17,10.0,4.625929269271485e-18,0.08433333333333333,0.08433333333333336
1,0_DBS,0.05,0.04947777777777778,0.009661279895443825,10.0,0.00305516495819959,0.04256651448388574,0.056389041071669824
2,0_DBS,0.1,0.0850222222222222,0.0036393671347212846,10.0,0.0011508689387280122,0.08241877580897232,0.08762566863547207
3,0_DBS,0.15,0.11939444444444444,0.0036676439026958655,10.0,0.0011598108378947905,0.11677077004994493,0.12201811883894395
4,0_DBS,0.2,0.15055555555555555,0.0016602758129402146,10.0,0.0005250253112978736,0.14936786578692338,0.15174324532418773
5,0_DBS,0.25,0.17492777777777777,0.0031229986732795676,10.0,0.0009875788937247464,0.1726937191094548,0.17716183644610073
6,0_DBS,0.3,0.19715555555555556,0.004634871106980909,10.0,0.0014656749359365615,0.19383996850081095,0.20047114261030016
7,0_DBS,0.35,0.21331666666666665,0.004685079050181243,10.0,0.0014815520816511033,0.2099651630130182,0.2166681703203151
8,0_DBS,0.4,0.22733333333333333,0.0028134743396879113,10.0,0.0008896987051852064,0.2253206950346166,0.22934597163205006
9,0_DBS,0.45,0.23903333333333335,0.005405073062856294,10.0,0.0017092341798248334,0.23516677699044755,0.24289988967621914
10,1_RiskyQLearner,0.0,0.3394222222222222,0.007208591125055615,10.0,0.002279556667605141,0.3342655067784674,0.34457893766597697
11,1_RiskyQLearner,0.05,0.37644444444444447,0.005213152091826031,10.0,0.0016485434399041512,0.37271518009358917,0.38017370879529977
12,1_RiskyQLearner,0.1,0.3743166666666667,0.004119365254019348,10.0,0.0013026576716859224,0.37136985028391556,0.3772634830494178
13,1_RiskyQLearner,0.15,0.36449999999999994,0.0028400428907675345,10.0,0.0008981004187394199,0.3624683557047863,0.36653164429521357
14,1_RiskyQLearner,0.2,0.35039444444444434,0.0041218952650609085,10.0,0.001303457731425593,0.3474458182008224,0.3533430706880663
