,testing_strategy,noise_level,mean_score,std_dev,n_reps,se,ci_lower,ci_upper
0,0_DBS,0.0,0.003977777777777777,0.00025939150066508343,5.0,0.00011600340565456169,0.0036557006899618945,0.00429985486559366
1,0_DBS,0.05,0.020244444444444447,0.000875418771041241,5.0,0.00039149917616550787,0.01915746847309075,0.021331420415798143
2,0_DBS,0.1,0.0351,0.0010396461886290282,5.0,0.00046494391006461514,0.033809108756709574,0.036390891243290424
3,0_DBS,0.15,0.046766666666666665,0.0024115207025371802,5.0,0.0010784648440042368,0.0437723682294032,0.04976096510393013
4,0_DBS,0.2,0.05595555555555556,0.001243129265350298,5.0,0.0005559443084285281,0.05441200670165659,0.05749910440945452
5,0_DBS,0.25,0.06354444444444445,0.0019978383379771684,5.0,0.0008934604663544296,0.061063800505946945,0.06602508838294194
6,0_DBS,0.3,0.07173333333333334,0.002265004837429765,5.0,0.0010129409571717628,0.06892095837093942,0.07454570829572726
7,0_DBS,0.35,0.07626666666666668,0.00339443989816026,5.0,0.001518039671564761,0.07205191285105463,0.08048142048227873
8,0_DBS,0.4,0.07880000000000001,0.0015513832935341273,5.0,0.0006937997006999637,0.0768737032170039,0.08072629678299612
9,0_DBS,0.45,0.08024444444444445,0.00199637016286071,5.0,0.0008928038784817747,0.07776562348613211,0.08272326540275679
10,10_JaxFiveStateAgentUtility,0.0,0.04204444444444444,0.011845155805196602,5.0,0.005297314716899171,0.027336740928017474,0.056752147960871406
11,10_JaxFiveStateAgentUtility,0.05,0.06626666666666667,0.007699346613291607,5.0,0.0034432524819305635,0.056706665167250384,0.07582666816608295
12,10_JaxFiveStateAgentUtility,0.1,0.07501111111111111,0.009034689661739944,5.0,0.004040436047853019,0.06379306222318486,0.08622915999903737
13,10_JaxFiveStateAgentUtility,0.15,0.08558888888888888,0.002851683496714197,5.0,0.0012753116297934484,0.08204805615674704,0.08912972162103072
14,10_JaxFiveStateAgentUtility,0.2,0.09134444444444445,0.0020410146351118492,5.0,0.0009127694934364047,0.08881019005221907,0.09387869883666983
15,10_JaxFiveStateAgentUtility,0.25,0.09440000000000001,0.004833556827527559,5.0,0.0021616323278919694,0.08839834650398704,0.10040165349601299
16,10_JaxFiveStateAgentUtility,0.3,0.09466666666666666,0.0032909340488044138,5.0,0.0014717504485190558,0.09058043233780326,0.09875290099553007
17,10_JaxFiveStateAgentUtility,0.35,0.09438888888888888,0.0012993350626140613,5.0,0.0005810803051107973,0.09277555132003716,0.0960022264577406
18,10_JaxFiveStateAgentUtility,0.4,0.0923,0.0020885490267257435,5.0,0.0009340275196199574,0.08970672386503112,0.09489327613496887
